Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,WHH,WHD,WHA
11/08/2023,Almeria,Vallecano,A,2.45,3.3,2.9,2.4,3,2.7
11/08/2023,Sevilla,Valencia,A,1.91,3.5,4.2,1.8,3.1,4
12/08/2023,Sociedad,Girona,D,1.62,4,5.25,1.5,3.6,5.5
12/08/2023,Las Palmas,Mallorca,D,2.4,3,3.3,2.3,2.8,3
12/08/2023,Ath Bilbao,Real Madrid,A,3.3,3.5,2.15,3.2,3.2,2
13/08/2023,Celta,Osasuna,A,2.05,3.2,3.9,2,3,3.4
13/08/2023,Villarreal,Betis,A,1.75,4,4.2,1.62,3.7,4.2
13/08/2023,Getafe,Barcelona,D,6.5,3.8,1.57,5.8,3.7,1.44
14/08/2023,Cadiz,Alaves,H,2.2,3,3.75,2,2.88,3.6
14/08/2023,Ath Madrid,Granada,H,1.3,5.5,9.5,1.22,4.8,9.5
18/08/2023,Mallorca,Villarreal,A,2.8,3.2,2.6,2.75,2.88,2.45
18/08/2023,Valencia,Las Palmas,H,1.57,3.9,6,1.53,3.5,5.5
19/08/2023,Sociedad,Celta,D,1.73,3.4,5.5,1.67,3.25,4.5
19/08/2023,Almeria,Real Madrid,A,8,4.75,1.4,7.5,4.4,1.3
19/08/2023,Osasuna,Ath Bilbao,A,2.9,3,2.63,2.6,2.9,2.5
20/08/2023,Girona,Getafe,H,2.05,3.1,4,2,2.9,3.6
20/08/2023,Barcelona,Cadiz,H,1.2,7,13,1.17,5.8,11
20/08/2023,Betis,Ath Madrid,D,3.8,3.4,2,3.5,3.2,1.91
21/08/2023,Alaves,Sevilla,H,3.3,3.1,2.35,3.1,2.8,2.25
21/08/2023,Granada,Vallecano,A,2.75,3,2.8,2.45,2.88,2.7
25/08/2023,Las Palmas,Sociedad,D,4.33,3.1,2,3.75,3,1.91
25/08/2023,Celta,Real Madrid,A,4.75,3.9,1.7,4.33,3.6,1.62
26/08/2023,Cadiz,Almeria,D,2.25,3.2,3.3,2.15,3.1,3
26/08/2023,Granada,Mallorca,H,2.6,3,3,2.38,2.8,2.9
26/08/2023,Sevilla,Girona,A,2.05,3.4,3.6,1.8,3.3,3.7
27/08/2023,Villarreal,Barcelona,A,3.6,3.5,2,3.2,3.4,1.95
27/08/2023,Valencia,Osasuna,A,1.91,3.4,4,1.85,3.1,3.8
27/08/2023,Ath Bilbao,Betis,H,1.85,3.5,4.2,1.75,3.4,3.9
28/08/2023,Getafe,Alaves,H,2.2,2.88,3.8,2.05,2.75,3.7
28/08/2023,Vallecano,Ath Madrid,A,4.2,3.3,1.95,3.8,3.4,1.75
01/09/2023,Cadiz,Villarreal,H,3.4,3.4,2.15,2.88,3.25,2.1
01/09/2023,Almeria,Celta,A,2.8,3.4,2.5,2.75,3.1,2.3
02/09/2023,Sociedad,Granada,H,1.44,4.5,7,1.33,4.2,7
02/09/2023,Real Madrid,Getafe,H,1.33,5.25,9.5,1.2,5,11
02/09/2023,Alaves,Valencia,H,2.9,2.88,2.75,2.8,2.7,2.5
02/09/2023,Betis,Vallecano,H,1.95,3.4,4,1.8,3.3,3.7
03/09/2023,Girona,Las Palmas,H,1.67,3.8,5.25,1.57,3.3,5.5
03/09/2023,Mallorca,Ath Bilbao,D,3.3,3,2.38,2.9,2.88,2.3
03/09/2023,Osasuna,Barcelona,A,5.25,4,1.65,4.4,3.6,1.62
